915	185.0
4395	186.0
7740	187.0
10950	188.0
14130	189.0
17160	190.0
20145	191.0
23085	192.0
25935	193.0
28680	194.0
31395	195.0
34020	196.0
36585	197.0
39120	198.0
41520	199.0
43920	200.0
46230	201.0
48525	202.0
50790	203.0
52950	204.0
55065	205.0
57150	206.0
59175	207.0
61155	208.0
63090	209.0
65025	210.0
66855	211.0
68685	212.0
70470	213.0
72195	214.0
73905	215.0
75570	216.0
77250	217.0
78810	218.0
80385	219.0
81930	220.0
89210	225.0
95875	230.0
101965	235.0
107510	240.0
112645	245.0
117400	250.0
121760	255.0
125835	260.0
129605	265.0
133135	270.0
136405	275.0
139495	280.0
142385	285.0
145095	290.0
147640	295.0
150030	300.0
152270	305.0
154435	310.0
156420	315.0
158330	320.0
160115	325.0
161840	330.0
163460	335.0
165005	340.0
167900	350.0
170520	360.0
172910	370.0
175105	380.0
177120	390.0
178980	400.0
180660	410.0
182220	420.0
183690	430.0
185035	440.0
186305	450.0
187500	460.0
189650	480.0
191555	500.0
193250	520.0
194750	540.0
196095	560.0
197325	580.0
198460	600.0
199475	620.0
200400	640.0
201275	660.0
202090	680.0
202830	700.0
204555	750.0
206020	800.0
207320	850.0
208515	900.0
209635	950.0
210635	1000.0
211625	1050.0
212590	1100.0
213495	1150.0
214415	1200.0
215320	1250.0
216225	1300.0
217145	1350.0
218050	1400.0
218955	1450.0
219875	1500.0
220825	1550.0
221775	1600.0
222770	1650.0
223795	1700.0
224835	1750.0
225875	1800.0
226945	1850.0
228030	1900.0
229100	1950.0
230215	2000.0
231345	2050.0
232515	2100.0
233730	2150.0
235005	2200.0
236355	2250.0
237705	2300.0
239115	2350.0
240495	2400.0
241920	2450.0
243345	2500.0
