Your comment line - do NOT delete this line
Col 0: Elapsed time [s]
Col 1: Total counter (1000)
Col 2: Pulse rate [Hz]
Col 3: High volt. [kV]
Col 4: Beam energy [mJ]
Col 5: Laser tube press. [mbar]
Col 6: Laser tube temp. [C]
Col 7: Buffer press. [mbar]
Col 8: Power meter PM100USB [Watt]

Col 0		Col 1	Col 2	Col 3	Col 4	Col 5	Col 6	Col 7	Col 8
00000.2261	-1	10	19.0	-0.07582042173357983	-0.45696527047259927	-0.5832003398905847	-0.4041080232650498	-0.013215241508787279
00000.4656	-1	10	19.0	-0.36908617978980063	-0.25700253901229453	-0.0032987813835936297	-0.7964591022777874	-0.412613755970339
00000.6995	-1	10	19.0	-0.11043116527741959	-0.41072451279467304	-0.144648340293704	-0.7957972788434856	-0.6115266326440033
00000.9393	-1	10	19.0	-0.9460609204064561	-0.091464541265321	-0.41355269555357155	-0.17053137207772173	-0.04735021673277062
00001.1880	-1	10	19.0	-0.27921387427064337	-0.4381038880911674	-0.7957344165028544	-0.7303454496492068	-0.8746445495299126
00001.4253	-1	10	19.0	-0.9611327390113643	-0.06991073499166423	-0.0671870496578656	-0.17287263659411722	-0.4923074704750845
00001.6669	-1	10	19.0	-0.9028511132140357	-0.11882778354141654	-0.15945087335595265	-0.6418223087460174	-0.2721569542149209
00001.8954	-1	10	19.0	-0.15500452550038124	-0.22996531491135852	-0.6199144197325536	-0.734625168002655	-0.4079344339350225
00002.1550	-1	10	19.0	-0.2818699573126705	-0.3947856082552925	-0.382298460619906	-0.013596763633058506	-0.6654308473932256
00002.3955	-1	10	19.0	-0.7892013221249096	-0.3549342339820847	-0.6078908201098265	-0.9048501693324249	-0.30918873306125494
